5	0.3733	0.3120
10	0.4052	0.3610
15	0.4437	0.3973
20	0.4685	0.4190
25	0.4862	0.4324
30	0.5043	0.4520
35	0.5296	0.4700
40	0.5511	0.4890
45	0.5659	0.5004
50	0.5801	0.5122

1C9P3Q5itOKh5vlePhCAIw 0	0.1506 0.0000 | 0.2020 0.1000 | 0.2053 0.2667 | 0.2576 0.3500 | 0.2051 0.2800 | 0.2605 0.2667 | 0.2947 0.2571 | 0.3709 0.3500 | 0.3886 0.3111 | 0.4306 0.3800 | 
1C9P3Q5itOKh5vlePhCAIw 1	0.5526 0.2000 | 0.2480 0.3000 | 0.3477 0.4000 | 0.3339 0.3000 | 0.3090 0.3600 | 0.2679 0.2333 | 0.3235 0.2571 | 0.3431 0.3500 | 0.4334 0.3778 | 0.4316 0.3600 | 
1C9P3Q5itOKh5vlePhCAIw 2	0.0486 0.0000 | 0.2270 0.3000 | 0.3468 0.2667 | 0.3488 0.2000 | 0.3864 0.2800 | 0.3864 0.3000 | 0.3788 0.3429 | 0.4290 0.4250 | 0.4327 0.3556 | 0.4366 0.4000 | 
1C9P3Q5itOKh5vlePhCAIw 3	0.5536 0.4000 | 0.2363 0.1000 | 0.3845 0.3333 | 0.2738 0.2500 | 0.3194 0.2800 | 0.3962 0.3667 | 0.3755 0.3714 | 0.4203 0.3500 | 0.3781 0.3333 | 0.4654 0.3800 | 
1C9P3Q5itOKh5vlePhCAIw 4	0.1773 0.2000 | 0.2424 0.2000 | 0.2868 0.2000 | 0.3671 0.2500 | 0.3709 0.3200 | 0.4166 0.3333 | 0.4641 0.3143 | 0.4283 0.3500 | 0.4319 0.3111 | 0.4056 0.3800 | 
1C9P3Q5itOKh5vlePhCAIw 5	0.1541 0.2000 | 0.1759 0.1000 | 0.3523 0.3333 | 0.3292 0.3500 | 0.4154 0.3600 | 0.4055 0.3333 | 0.4002 0.3714 | 0.4305 0.4250 | 0.4167 0.3556 | 0.3979 0.3600 | 
1C9P3Q5itOKh5vlePhCAIw 6	0.1562 0.0000 | 0.2989 0.3000 | 0.3267 0.2667 | 0.3734 0.2500 | 0.2805 0.2400 | 0.3684 0.2667 | 0.2885 0.2000 | 0.3593 0.3250 | 0.4203 0.3556 | 0.5082 0.3800 | 
1C9P3Q5itOKh5vlePhCAIw 7	0.1201 0.2000 | 0.1972 0.2000 | 0.2749 0.2667 | 0.3173 0.2000 | 0.2952 0.2000 | 0.2245 0.2000 | 0.2578 0.2000 | 0.2465 0.2500 | 0.2738 0.2444 | 0.3745 0.3200 | 
1C9P3Q5itOKh5vlePhCAIw 8	0.5510 0.6000 | 0.5881 0.6000 | 0.4245 0.4667 | 0.4515 0.4500 | 0.4449 0.4000 | 0.4622 0.3667 | 0.4963 0.4286 | 0.4854 0.3750 | 0.4629 0.4222 | 0.5672 0.4400 | 
1C9P3Q5itOKh5vlePhCAIw 9	0.5667 0.2000 | 0.3560 0.3000 | 0.2058 0.2000 | 0.2050 0.2000 | 0.1737 0.1600 | 0.2789 0.2667 | 0.3430 0.2857 | 0.3441 0.2750 | 0.3999 0.3333 | 0.3809 0.3400 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 0	0.9667 0.8000 | 0.9909 0.9000 | 0.9643 0.8667 | 0.9550 0.9000 | 0.9430 0.8800 | 0.9496 0.9000 | 0.9576 0.9143 | 0.9574 0.9250 | 0.9519 0.9333 | 0.9602 0.9200 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 1	0.8211 0.8000 | 0.9319 0.8000 | 0.9515 0.8667 | 0.8777 0.8500 | 0.9056 0.8800 | 0.9244 0.9000 | 0.9299 0.9143 | 0.9734 0.9250 | 0.9799 0.9333 | 0.9852 0.9400 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 2	0.8767 0.8000 | 0.8813 0.9000 | 0.8870 0.9333 | 0.9361 0.9500 | 0.9913 0.9200 | 0.9411 0.9000 | 0.9547 0.8857 | 0.9608 0.9250 | 0.9482 0.9333 | 0.9712 0.9400 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 3	0.7100 0.8000 | 0.8654 0.9000 | 0.8849 0.8000 | 0.9342 0.8500 | 0.9342 0.8800 | 0.9494 0.9000 | 0.9819 0.9429 | 0.9636 0.9250 | 0.9395 0.9111 | 0.9280 0.9200 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 4	0.9029 0.8000 | 0.9327 0.8000 | 0.8565 0.8000 | 0.8776 0.8500 | 0.9737 0.8800 | 0.9461 0.9000 | 0.9550 0.9143 | 0.9538 0.9000 | 0.9609 0.9111 | 0.9612 0.9400 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 5	0.7708 0.6000 | 0.9536 0.8000 | 0.9033 0.8000 | 0.9149 0.8500 | 0.9763 0.8800 | 0.9810 0.9000 | 0.9821 0.9143 | 0.9865 0.9250 | 0.9423 0.9111 | 0.9519 0.9200 | 
X-V5_nAe0ZM9OzxhDlJ-9Q 6	0.7100 0.8000 | 0.8619 0.9000 | 0.9059 0.8667 | 0.9358 0.9000 | 0.9501 0.9200 | 0.9904 0.9333 | 0.9864 0.9429 | 0.9876 0.9500 | 0.9916 0.9556 | 0.9836 0.9200 | 
